date,day_of_week,time_of_day,duration,mpg,miles_total,miles_electric,traffic,highway,passenger_load,bed_load
6-11-2026,Thursday,morning,11:09,38.4,3.5,2.5,moderate,0,1,0
6-11-2026,Thursday,afternoon,8:13,48.8,1.6,1.1,light,0,1,0
6-11-2026,Thursday,evening,14:03,44.8,2.6,2,light,0,1,0
6-11-2026,Thursday,evening,9:04,26.6,2.2,1.3,light,0,4,0
06-11-2026,Thursday,evening,7:45,38.7,2.3,1.2,light,0,4,0
6-12-2026,Friday,morning,12:58,44.6,3.4,2.5,moderate,0,1,0
6-12-2026,Friday,afternoon,10:28,37.4,3,1.6,moderate,0,1,0
6-12-2026,Friday,afternoon,14:57,55.8,3,2.3,moderate,0,1,0
6-12-2026,Friday,afternoon,12:34,25.5,2.1,1.3,moderate,0,1,0
6-12-2026,Friday,afternoon,3:42,28.5,0.7,0.3,light,0,1,0
6-12-2026,Friday,evening,17:59,32.1,9.6,1.4,moderate,1,4,0
6-12-2026,Friday,night,18:59,43.1,9.2,2.5,moderate,1,4,0
6-13-2026,Saturday,morning,7:49,20.9,1.1,0.4,light,0,4,0
6-13-2026,Saturday,morning,6:53,42.5,1.1,0.6,light,0,4,0
6-13-2026,Saturday,afternoon,7:58,34.3,1.8,1,light,0,2,0
6-13-2026,Saturday,afternoon,17:41,31.4,3.2,2.1,moderate,0,2,1
6-13-2026,Saturday,afternoon,6:44,26.7,1.2,0.6,light,0,2,1
6-14-2026,Sunday,morning,17:29,36.2,12.2,2.6,light,1,2,0
6-14-2026,Sunday,morning,21:57,59.5,6.7,4.8,moderate,0,2,1
6-15-2026,Monday,morning,15:03,47.4,4.3,3,moderate,0,1,0
6-15-2026,Monday,morning,6:52,39.4,1.6,1,light,0,1,0
6-15-2026,Monday,afternoon,17:01,32.5,1.8,1.2,heavy,0,1,0
6-15-2026,Monday,afternoon,17.29,38,3.9,2.4,moderate,0,1,0
6-16-2026,Tuesday,morning,16:01,44.2,4.4,3.3,moderate,0,1,0
6-16-2026,Tuesday,morning,6:18,41.1,1.6,1,moderate,0,1,0
6-16-2026,Tuesday,afternoon,7:05,24,0.7,0.2,moderate,0,1,0
6-16-2026,Tuesday,afternoon,8:29,39,1.1,0.8,heavy,0,1,0
6-16-2026,Tuesday,evening,17:54,40.6,4.4,2.7,moderate,0,1,0
6-17-2026,Wednesday,morning,15:53,42.6,4.5,3,heavy,0,1,0
6-17-2026,Wednesday,morning,9:27,44,1.8,1.2,moderate,0,1,0
6-17-2026,Wednesday,afternoon,11:32,50.7,1.7,1.2,light,0,1,0
6-17-2026,Wednesday,afternoon,14:15,30.5,2.1,1.4,heavy,0,1,0
6-17-2026,Wednesday,afternoon,15:19,49.7,4.6,3.2,heavy,0,1,0
